Repo,Pull Request,Status,Description,Timestamp,URL
SpikeInterface/spikeinterface,2195,merged,Fix improper method call mktemp,"2023-11-22T13:42:53Z
",https://github.com/SpikeInterface/spikeinterface/pull/2195
projecthamster/hamster,737,merged,Fixed Improper Method Call: Replaced `NotImplementedError`,"2023-11-16T13:11:00Z
",https://github.com/projecthamster/hamster/pull/737
gnowledge/gstudio,2032,open,Fixed Improper Method Call: Replaced `mktemp`,"2023-11-13T07:49:12Z
",https://github.com/gnowledge/gstudio/pull/2032
google-parfait/tensorflow-federated,4273,open,Fixed Improper Method Call: Replaced `NotImplementedError`,"2023-11-13T07:20:01Z
",https://github.com/google-parfait/tensorflow-federated/pull/4273
ParmEd/ParmEd,1328,merged,Fixed Improper Method Call: Replaced `mktemp`,"2024-01-18T19:45:35Z
",https://github.com/ParmEd/ParmEd/pull/1328
nipy/nipy,552,merged,ENH: Replace saving mayavi figure to a temporary file with mlab.screenshot(),"2023-11-23T00:11:01Z
",https://github.com/nipy/nipy/pull/552
FEniCS/ffcx,636,merged,Fixed Improper Method Call: `__eq__` and `__ne__`,"2023-11-15T14:49:43Z
",https://github.com/FEniCS/ffcx/pull/636
OCR-D/core,1130,closed,Fixed Improper Method Call: Modified `__exit__()`,"2023-11-13T16:18:51Z
",https://github.com/OCR-D/core/pull/1130
OCA/reporting-engine,809,merged,Fixed Improper Method Call: Replaced `mktemp`,"2023-12-08T07:52:29Z
",https://github.com/OCA/reporting-engine/pull/809
autotest/tp-qemu,3869,open,Fixed Improper Method Call: Replaced `mktemp`,"2023-11-08T12:08:18Z
",https://github.com/autotest/tp-qemu/pull/3869
ceph/teuthology,1898,merged,Fixed Improper Method Call: Replaced `mktemp`,"2024-07-02T10:14:44Z
",https://github.com/ceph/teuthology/pull/1898
pwndbg/pwndbg,1932,closed,Fixed Improper Method Call: Replaced `mktemp`,"2023-11-12T03:36:20Z
",https://github.com/pwndbg/pwndbg/pull/1932
red-hat-storage/ocs-ci,8816,closed,Fixed Improper Method Call: Replaced `mktemp`,"2024-03-08T20:04:46Z
",https://github.com/red-hat-storage/ocs-ci/pull/8816
datalad/datalad,7534,open,Fixed Improper Method Call: Replaced `mktemp`,"2023-11-10T08:48:43Z
",https://github.com/datalad/datalad/pull/7534
